Wall time,Step,Value
1671141123.7210798,0,1.8031291961669922
1671141752.1398394,1,1.5311866998672485
1671142096.4440737,2,1.3536854982376099
1671142673.4100623,3,1.2240408658981323
1671143338.2156942,4,1.1304714679718018
1671143602.808791,5,1.0412671566009521
1671144880.754944,6,0.9661263227462769
1671145364.8508537,7,0.9041666388511658
1671145863.0382617,8,0.8518997430801392
1671146110.9765112,9,0.8014327883720398
1671146303.3736866,10,0.7621639370918274
1671146512.5598054,11,0.7248451709747314
1671146725.8906949,12,0.6766228079795837
1671146972.9336972,13,0.6356884837150574
1671147157.3420365,14,0.5984436869621277
1671147342.2571888,15,0.5614851117134094
1671147527.0989418,16,0.5233058333396912
1671147711.7348425,17,0.483722060918808
1671147896.9834838,18,0.4421575367450714
1671148081.8014364,19,0.4040165841579437
1671148266.5690274,20,0.3630591928958893
1671148451.224734,21,0.32128238677978516
1671148636.0728905,22,0.29152753949165344
1671148823.3859818,23,0.2587592303752899
1671149010.1740825,24,0.23173050582408905
1671149199.1092758,25,0.19942551851272583
1671149387.8997188,26,0.18420100212097168
1671149576.7195807,27,0.16723895072937012
1671149765.8551471,28,0.14877969026565552
1671149954.7179167,29,0.1285194307565689
1671150143.3695478,30,0.12459183484315872
1671150331.9455302,31,0.1186302900314331
1671150520.3525946,32,0.10225746035575867
1671150708.558118,33,0.09434955567121506
1671150896.9570436,34,0.09625276923179626
1671151085.332913,35,0.0751161202788353
1671151273.5796556,36,0.08294914662837982
1671151461.727487,37,0.07953809201717377
1671151650.187129,38,0.07389627397060394
1671151838.6050038,39,0.05987681820988655
1671152035.5478673,40,0.06426515430212021
1671152224.0745053,41,0.0561600960791111
1671152412.3128004,42,0.055441923439502716
1671152600.7361987,43,0.047971468418836594
1671152788.9604595,44,0.04979845881462097
1671152977.3413436,45,0.0457640215754509
1671153165.9489079,46,0.03738280013203621
1671153354.3894665,47,0.04192899167537689
1671153542.7766793,48,0.034482263028621674
1671153731.0341213,49,0.033814702183008194
1671153919.389759,50,0.03357440605759621
1671154107.7386365,51,0.02752556838095188
1671154296.5638664,52,0.027080923318862915
1671154485.1901422,53,0.03463311493396759
1671154673.3953955,54,0.02090257778763771
1671154861.6634185,55,0.019805707037448883
1671155049.8466141,56,0.016370326280593872
1671155238.0313556,57,0.025688370689749718
1671155426.390089,58,0.014217745512723923
1671155614.726076,59,0.012687250971794128
1671155803.0460815,60,0.01503480039536953
1671155991.2654378,61,0.018534328788518906
1671156179.4576395,62,0.008200195617973804
1671156367.6584005,63,0.005658269859850407
1671156556.274643,64,0.015559865161776543
1671156744.4876153,65,0.01086355559527874
1671156932.9142258,66,0.006372968200594187
1671157122.742134,67,0.0020298620220273733
1671157311.519036,68,0.003229906316846609
1671157499.969548,69,0.012441938742995262
1671157688.6305947,70,0.0024296750780194998
1671157877.6400585,71,0.001746547408401966
1671158066.0002763,72,0.0007436371524818242
1671158254.7586317,73,0.0017508218297734857
1671158443.1598778,74,0.005690678488463163
1671158631.7579587,75,0.004728157538920641
1671158819.9830332,76,0.0014583637239411473
1671159008.3749764,77,0.00039807427674531937
1671159196.8056526,78,0.0001428456889698282
1671159385.2232645,79,6.220913928700611e-05
1671159573.5834699,80,5.1075203373329714e-05
1671159761.8185282,81,4.488212653086521e-05
1671159950.4343095,82,4.025708403787576e-05
1671160139.06798,83,3.652304440038279e-05
1671160327.4421513,84,3.3385938877472654e-05
1671160516.0731018,85,3.071548417210579e-05
1671160704.9629633,86,2.8328928237897344e-05
1671160895.2649224,87,2.623400359880179e-05
1671161083.5190902,88,2.441339529468678e-05
1671161271.9044192,89,2.2778702259529382e-05
1671161460.3286283,90,2.1341807951102965e-05
1671161648.5324907,91,2.0092040358576924e-05
1671161836.7463179,92,1.9027893358725123e-05
1671162025.5685515,93,1.8124497728422284e-05
1671162213.7443776,94,1.735959631332662e-05
1671162401.7379315,95,1.6752292140154168e-05
1671162589.9743145,96,1.6289495761157013e-05
1671162777.9753783,97,1.5955802155076526e-05
1671162965.8486807,98,1.5744979464216158e-05
1671163154.049313,99,1.564270132803358e-05
