Wall time,Step,Value
1671097816.310872,0,0.6033927202224731
1671098068.4807918,1,0.7494285702705383
1671098330.3740172,2,0.788451075553894
1671098587.587442,3,0.8090353012084961
1671098837.1619573,4,0.8208120465278625
1671099086.9119377,5,0.8399696350097656
1671099336.8845432,6,0.8601102828979492
1671099586.6343372,7,0.8720988035202026
1671099837.3221972,8,0.8811500668525696
1671100127.4552372,9,0.8919157385826111
1671100374.12758,10,0.9012348055839539
1671100620.2866821,11,0.9098824858665466
1671100866.8556635,12,0.9166480302810669
1671101114.0312178,13,0.9245524406433105
1671101360.9035323,14,0.9289482235908508
1671101607.0804503,15,0.9368686079978943
1671101853.234784,16,0.941168487071991
1671102099.9492667,17,0.9485294222831726
1671102361.5746117,18,0.9516783952713013
1671102607.8310711,19,0.9563539028167725
1671102854.3284664,20,0.958699643611908
1671103080.7657988,21,0.9610334038734436
1671103263.6152542,22,0.9664082527160645
1671103446.0109503,23,0.966232419013977
1671103628.467625,24,0.970176637172699
1671103810.9190876,25,0.970512330532074
1671103992.9999266,26,0.9731497764587402
1671104175.0101619,27,0.9740089774131775
1671104357.514804,28,0.9776254892349243
1671104540.0812738,29,0.9773497581481934
1671104722.5630589,30,0.9800671339035034
1671104904.7792873,31,0.9800871014595032
1671105087.276026,32,0.9834198951721191
1671105269.7006702,33,0.9824328422546387
1671105452.4915426,34,0.9816456437110901
1671105634.8151724,35,0.9835518002510071
1671105817.4198856,36,0.9853940010070801
1671106000.0728376,37,0.9849424362182617
1671106182.7628493,38,0.9870684146881104
1671106365.7828605,39,0.9872921705245972
1671106548.1978867,40,0.9877317547798157
1671106730.866944,41,0.9903172850608826
1671106913.2965114,42,0.9877317547798157
1671107095.7796378,43,0.991368293762207
1671107278.1946356,44,0.9912363886833191
1671107461.072688,45,0.9893262386322021
1671107643.9532964,46,0.9927070140838623
1671107826.9538898,47,0.9931705594062805
1671108009.4259176,48,0.9926550388336182
1671108192.0199995,49,0.992455244064331
1671108374.4861412,50,0.9931745529174805
1671108556.9506838,51,0.9943054914474487
1671108739.4097216,52,0.9954403638839722
1671108921.850689,53,0.9945132732391357
1671109104.298714,54,0.9962635636329651
1671109286.7118154,55,0.9960917234420776
1671109469.2328696,56,0.9951646327972412
1671109651.8124166,57,0.9981217980384827
1671109834.31396,58,0.9954243898391724
1671110016.9896166,59,0.9961436986923218
1671110199.8639965,60,0.9985893368721008
1671110382.69402,61,0.9971626996994019
1671110565.5200303,62,0.9963514804840088
1671110748.8347414,63,0.998641312122345
1671110932.507754,64,0.999940037727356
1671111114.8668091,65,1.0
1671111297.1596804,66,1.0
1671111479.6297185,67,1.0
1671111662.1067536,68,1.0
1671111844.50685,69,1.0
1671112026.7924132,70,1.0
1671112209.2361083,71,1.0
1671112391.4181197,72,1.0
1671112573.9152648,73,1.0
1671112756.170055,74,1.0
1671112938.4381654,75,1.0
1671113120.8692217,76,1.0
1671113303.5128126,77,1.0
1671113486.3788123,78,1.0
1671113669.1588392,79,1.0
1671113851.6777482,80,1.0
1671114033.910288,81,1.0
1671114216.0880852,82,1.0
1671114398.1826906,83,1.0
1671114580.2242074,84,1.0
1671114763.0977666,85,1.0
1671114945.3258095,86,1.0
1671115127.7768826,87,1.0
1671115309.988447,88,1.0
1671115492.280988,89,1.0
1671115674.5254698,90,1.0
1671115857.0230324,91,1.0
1671116039.2509418,92,1.0
1671116222.1010153,93,1.0
1671116404.939567,94,1.0
1671116587.3737466,95,1.0
1671116769.8553455,96,1.0
1671116952.521843,97,1.0
1671117134.7209554,98,1.0
1671117317.006021,99,1.0
